year,popularity,danceability,energy,loudness,tempo
2007,68.0,0.72,0.668,-7.928,123.007
2013,0.0,0.575,0.821,-5.7,118.021
2007,0.0,0.698,0.844,-4.789,105.828
2007,46.0,0.626,0.906,-4.334,118.035
2015,82.0,0.856,0.609,-7.223,114.988
2018,79.0,0.601,0.794,-5.844,114.066
2011,46.0,0.443,0.683,-5.521,81.986
2007,0.0,0.692,0.911,-5.098,138.975
2009,79.0,0.652,0.698,-4.667,96.021
2010,0.0,0.63,0.91,-2.919,116.98
2013,77.0,0.53,0.422,-6.262,119.964
2013,78.0,0.613,0.622,-5.794,80.003
2006,37.0,0.42,0.742,-5.665,149.965
2007,59.0,0.492,0.859,-4.274,92.474
2009,65.0,0.529,0.948,-3.527,146.024
2009,74.0,0.516,0.764,-6.223,148.021
2009,72.0,0.634,0.69,-7.804,94.988
2014,62.0,0.663,0.705,-4.972,122.014
2014,59.0,0.719,0.935,-3.752,120.022
2016,70.0,0.552,0.689,-6.444,99.961
2017,64.0,0.401,0.872,-3.641,104.592
2006,1.0,0.286,0.508,-5.966,68.637
2006,1.0,0.5,0.498,-6.087,79.798
2001,72.0,0.558,0.719,-5.113,112.027
2019,78.0,0.824,0.588,-6.4,98.027
2009,57.0,0.438,0.672,-4.706,185.934
2015,46.0,0.703,0.736,-5.709,119.955
2008,51.0,0.632,0.972,-2.423,87.0
2000,73.0,0.671,0.88,-6.149,136.953
2000,55.0,0.822,0.922,-5.798,163.826
2016,79.0,0.728,0.563,-8.053,100.017
2016,62.0,0.696,0.517,-8.379,112.291
2017,0.0,0.774,0.626,-4.432,100.041
2018,72.0,0.845,0.561,-5.253,109.974
2018,67.0,0.856,0.632,-3.692,112.009
2018,64.0,0.755,0.769,-5.658,114.966
1999,64.0,0.634,0.886,-5.424,93.04
2001,59.0,0.574,0.691,-5.103,91.969
2017,74.0,0.6,0.688,-8.339,99.977
2003,53.0,0.7,0.72,-6.061,106.986
2003,35.0,0.368,0.426,-8.049,106.52
2013,75.0,0.376,0.695,-4.782,169.533
2012,53.0,0.18,0.636,-6.591,75.223
2012,66.0,0.373,0.686,-5.52,93.763
2013,72.0,0.572,0.81,-5.791,126.052
2015,67.0,0.536,0.486,-11.067,131.988
2017,0.0,0.499,0.676,-8.618,99.979
2019,80.0,0.641,0.559,-11.132,144.982
2016,66.0,0.833,0.515,-5.0,97.007
2004,62.0,0.598,0.4,-10.054,96.938
2013,69.0,0.546,0.787,-4.1,79.979
2014,58.0,0.616,0.789,-4.874,83.066
2015,69.0,0.672,0.593,-4.01,98.02
2015,64.0,0.757,0.884,-5.488,120.012
2015,0.0,0.6,0.676,-6.447,88.928
2014,64.0,0.616,0.789,-4.874,83.066
2017,69.0,0.708,0.618,-4.424,123.013
2017,78.0,0.724,0.804,-4.614,124.987
2015,78.0,0.746,0.754,-6.684,149.882
2015,73.0,0.687,0.761,-4.582,113.939
2017,82.0,0.444,0.819,-4.078,82.695
2017,0.0,0.857,0.8,-4.035,121.996
2017,0.0,0.561,0.674,-4.882,148.127
2019,78.0,0.759,0.548,-6.049,116.967
2008,74.0,0.617,0.741,-3.97,118.984
2008,55.0,0.687,0.771,-4.424,129.964
2010,65.0,0.529,0.67,-4.663,141.893
2012,59.0,0.622,0.469,-6.798,77.019
2012,76.0,0.622,0.469,-6.798,77.019
2012,68.0,0.661,0.729,-6.561,103.987
2014,54.0,0.646,0.794,-6.104,170.216
2014,61.0,0.588,0.791,-5.595,94.933
2014,79.0,0.647,0.8,-5.384,160.078
2014,82.0,0.76,0.703,-5.412,95.997
2015,70.0,0.654,0.655,-7.388,170.16
2014,78.0,0.553,0.664,-7.417,140.06
2014,77.0,0.588,0.791,-5.595,94.933
2017,76.0,0.766,0.709,-6.471,128.07
2017,73.0,0.613,0.764,-6.509,160.015
2019,78.0,0.552,0.702,-5.707,169.994
2014,75.0,0.5,0.292,-8.554,145.879
2013,65.0,0.645,0.878,-3.208,82.324
2014,0.0,0.687,0.702,-5.324,129.956
2014,74.0,0.472,0.714,-4.389,98.992
2014,73.0,0.66,0.805,-5.352,103.008
2014,79.0,0.628,0.593,-5.036,125.026
2016,0.0,0.648,0.738,-5.883,159.145
2016,0.0,0.677,0.604,-5.32,134.052
2016,3.0,0.623,0.734,-5.948,107.853
2018,77.0,0.699,0.713,-5.507,121.993
2018,78.0,0.602,0.658,-5.934,145.031
2019,83.0,0.778,0.317,-10.732,140.048
2019,76.0,0.726,0.554,-5.29,169.999
2019,77.0,0.4,0.795,-3.731,190.097
2001,58.0,0.578,0.581,-6.867,83.293
2001,66.0,0.747,0.706,-4.653,94.019
2002,65.0,0.783,0.649,-4.127,103.997
2002,78.0,0.585,0.776,-5.898,77.987
2002,75.0,0.487,0.9,-4.417,149.937
2002,70.0,0.457,0.406,-7.462,151.95
2004,61.0,0.348,0.907,-3.66,185.406
2004,58.0,0.523,0.795,-2.92,144.106
2004,68.0,0.414,0.936,-2.407,170.229
2007,75.0,0.56,0.959,-2.433,163.983
2007,68.0,0.457,0.719,-3.921,142.034
2011,74.0,0.578,0.926,-3.689,149.976
2013,0.0,0.483,0.871,-3.084,164.986
2005,74.0,0.599,0.785,-4.013,140.046
2003,54.0,0.542,0.589,-6.813,133.838
2003,54.0,0.581,0.747,-6.682,146.301
2015,73.0,0.884,0.765,-3.865,99.987
2016,75.0,0.803,0.585,-5.861,105.017
2016,62.0,0.689,0.791,-5.194,95.04
2012,0.0,0.61,0.863,-2.632,83.993
2002,67.0,0.747,0.904,-2.623,118.877
2009,71.0,0.691,0.853,-2.528,145.999
2010,81.0,0.728,0.859,-5.237,65.043
2012,63.0,0.717,0.55,-6.019,96.979
2012,67.0,0.571,0.873,-3.382,139.691
2012,73.0,0.602,0.843,-4.831,128.003
2015,77.0,0.845,0.567,-8.118,125.02
2015,80.0,0.654,0.76,-3.669,99.945
2015,0.0,0.609,0.378,-9.828,100.418
2017,0.0,0.744,0.739,-5.35,104.99
2019,84.0,0.501,0.405,-5.679,109.891
2012,82.0,0.726,0.787,-2.494,124.99
2012,0.0,0.658,0.837,-2.063,126.015
2013,66.0,0.489,0.867,-3.121,162.131
2013,76.0,0.652,0.877,-2.986,118.491
2014,79.0,0.536,0.768,-5.948,77.217
2014,83.0,0.672,0.52,-7.747,120.001
2013,81.0,0.6,0.663,-5.802,121.07
2015,79.0,0.73,0.703,-5.672,138.113
2015,77.0,0.647,0.823,-5.231,99.933
2019,69.0,0.863,0.471,-9.545,140.969
1999,54.0,0.581,0.607,-8.458,102.03
2019,40.0,0.583,0.643,-7.486,195.685
2004,56.0,0.505,0.799,-4.286,174.001
2000,77.0,0.751,0.834,-5.444,95.053
1999,58.0,0.633,0.922,-4.842,84.11
2000,65.0,0.765,0.791,-5.707,95.026
2001,69.0,0.847,0.843,-3.579,110.027
2001,61.0,0.682,0.894,-1.73,95.992
2001,58.0,0.534,0.543,-6.857,78.996
2003,59.0,0.804,0.836,-6.635,120.046
2003,81.0,0.774,0.838,-3.914,143.04
2004,53.0,0.749,0.938,-4.423,111.014
2003,63.0,0.398,0.284,-12.852,109.599
2007,79.0,0.788,0.844,-3.131,113.324
2007,61.0,0.712,0.911,-3.866,117.533
2008,76.0,0.724,0.695,-5.226,139.0
2007,64.0,0.769,0.638,-5.054,115.007
2008,74.0,0.791,0.733,-5.215,114.98
2008,69.0,0.717,0.587,-7.296,129.954
2011,66.0,0.696,0.546,-6.55,130.002
2011,65.0,0.693,0.705,-5.747,131.951
2013,0.0,0.63,0.816,-6.535,128.012
2017,1.0,0.768,0.517,-4.323,104.992
2018,74.0,0.637,0.713,-4.333,129.923
2019,65.0,0.74,0.498,-6.684,98.016
2013,0.0,0.652,0.783,-4.829,117.952
2001,62.0,0.637,0.929,-6.03,136.482
2008,68.0,0.667,0.954,-3.462,114.03
2019,71.0,0.795,0.496,-5.883,94.01
2019,79.0,0.842,0.734,-5.065,137.958
2015,72.0,0.807,0.887,-3.726,134.052
2015,70.0,0.775,0.825,-5.402,139.091
2017,69.0,0.557,0.803,-3.599,92.134
2018,43.0,0.729,0.632,-8.75,109.981
2009,63.0,0.177,0.425,-6.211,182.571
2009,57.0,0.67,0.866,-3.684,140.029
1999,68.0,0.63,0.625,-5.088,167.998
2000,70.0,0.575,0.786,-4.353,96.102
2005,63.0,0.437,0.589,-4.834,133.631
2007,62.0,0.423,0.94,-4.012,149.934
2009,64.0,0.44,0.976,-3.17,150.005
2012,72.0,0.715,0.872,-3.835,93.043
2011,60.0,0.597,0.115,-9.217,111.202
2011,72.0,0.349,0.348,-6.142,74.541
2011,70.0,0.421,0.407,-7.445,139.028
2013,59.0,0.439,0.489,-6.286,143.808
2008,67.0,0.57,0.664,-4.718,162.084
2011,1.0,0.617,0.728,-7.932,139.066
1999,64.0,0.74,0.876,-6.87,127.002
2005,78.0,0.656,0.291,-10.572,103.971
2002,47.0,0.64,0.59,-7.442,83.133
2002,62.0,0.853,0.811,-4.927,114.964
2002,76.0,0.892,0.714,-6.055,100.972
2002,73.0,0.624,0.654,-6.582,73.898
2006,78.0,0.967,0.583,-5.562,117.0
2006,72.0,0.771,0.68,-5.881,119.952
2006,70.0,0.687,0.723,-4.751,76.0
2006,66.0,0.606,0.591,-7.228,95.802
2006,57.0,0.859,0.681,-6.247,121.243
2013,78.0,0.574,0.512,-6.664,76.899
2013,67.0,0.795,0.596,-3.799,101.985
2016,76.0,0.666,0.83,-5.715,113.03
1999,61.0,0.599,0.47,-8.356,127.177
1999,64.0,0.829,0.915,-3.205,118.903
2001,68.0,0.76,0.801,-3.769,109.919
2002,68.0,0.64,0.889,-3.073,99.931
2002,61.0,0.859,0.658,-4.481,98.989
2002,67.0,0.435,0.92,-1.357,188.899
2006,63.0,0.862,0.742,-4.722,127.91
2006,66.0,0.686,0.789,-4.713,172.976
2002,46.0,0.836,0.762,-5.044,133.592
2002,56.0,0.838,0.764,-5.076,133.592
2002,58.0,0.688,0.538,-7.608,119.998
2014,74.0,0.494,0.951,-4.237,160.025
2018,69.0,0.596,0.854,-5.114,120.274
2019,1.0,0.505,0.428,-5.604,175.813
2004,2.0,0.706,0.8,-6.333,100.011
2008,62.0,0.726,0.881,-3.892,110.019
2012,0.0,0.821,0.676,-6.366,119.012
2006,74.0,0.545,0.932,-2.189,92.956
2017,0.0,0.673,0.637,-4.518,123.98
2000,56.0,0.743,0.894,-6.886,95.9
2007,77.0,0.451,0.931,-3.871,122.961
2018,81.0,0.705,0.712,-6.156,97.512
2006,75.0,0.668,0.921,-3.727,120.0
2009,75.0,0.602,0.905,-4.046,128.019
2012,71.0,0.616,0.656,-7.298,150.071
2009,2.0,0.617,0.778,-8.871,100.363
2007,65.0,0.463,0.836,-2.776,141.955
2009,64.0,0.525,0.742,-5.643,117.029
2004,77.0,0.38,0.988,-2.042,186.113
2004,72.0,0.49,0.679,-3.68,167.046
2009,73.0,0.268,0.742,-4.939,159.779
2006,73.0,0.391,0.808,-6.209,100.304
2011,60.0,0.588,0.694,-4.278,126.027
2004,63.0,0.562,0.865,-6.476,124.047
2003,74.0,0.489,0.649,-5.11,158.009
2007,76.0,0.459,0.895,-3.126,181.04
2003,0.0,0.66,0.698,-4.722,123.005
2005,74.0,0.622,0.961,-3.198,114.452
2007,76.0,0.459,0.891,-5.057,154.837
2007,68.0,0.435,0.887,-4.07,199.935
2013,71.0,0.558,0.924,-4.341,151.99
2015,80.0,0.393,0.858,-2.868,176.042
2005,58.0,0.49,0.956,-4.556,160.028
2005,63.0,0.395,0.979,-3.241,158.842
2007,67.0,0.451,0.939,-2.82,93.416
2008,80.0,0.542,0.905,-5.653,153.398
2006,68.0,0.511,0.815,-3.14,154.514
2006,71.0,0.535,0.948,-4.19,103.183
2006,72.0,0.348,0.875,-4.758,169.152
2007,67.0,0.42,0.974,-4.706,165.182
2013,84.0,0.691,0.631,-6.478,92.004
2013,84.0,0.548,0.532,-7.596,85.03
2006,56.0,0.525,0.578,-4.563,123.696
2004,77.0,0.277,0.663,-8.821,104.561
2005,61.0,0.412,0.944,-2.896,123.091
2012,77.0,0.448,0.784,-3.686,136.245
2012,81.0,0.505,0.71,-3.015,89.938
2017,1.0,0.6,0.81,-4.749,167.88
2017,80.0,0.672,0.655,-5.021,134.945
2017,1.0,0.779,0.787,-4.305,124.982
2018,80.0,0.704,0.611,-6.112,100.0
2015,83.0,0.734,0.637,-5.677,169.977
2016,80.0,0.732,0.396,-9.348,90.024
2015,80.0,0.645,0.713,-5.355,74.989
2006,76.0,0.217,0.905,-4.103,96.95
2006,80.0,0.463,0.857,-3.063,111.647
2005,70.0,0.566,0.815,-4.481,169.961
2018,80.0,0.579,0.904,-2.729,82.014
1999,78.0,0.458,0.795,-3.265,123.229
2002,80.0,0.618,0.938,-3.442,91.455
2002,73.0,0.451,0.97,-4.938,122.444
2006,76.0,0.556,0.913,-2.36,96.184
2006,79.0,0.427,0.9,-3.674,104.655
2011,65.0,0.683,0.734,-4.523,106.254
2005,74.0,0.179,0.912,-3.881,182.99
2019,71.0,0.746,0.7,-4.669,176.044
2018,72.0,0.754,0.805,-4.249,93.982
2018,69.0,0.722,0.738,-6.073,198.075
2011,0.0,0.622,0.942,-6.365,130.003
2019,76.0,0.786,0.808,-3.702,105.027
2019,75.0,0.807,0.803,-4.156,91.987
2017,53.0,0.548,0.701,-4.862,104.237
2018,77.0,0.817,0.539,-6.349,97.062
2019,81.0,0.61,0.624,-4.773,176.169
2017,51.0,0.736,0.719,-3.839,90.013
2019,74.0,0.594,0.749,-5.298,179.968
2018,76.0,0.903,0.675,-3.445,96.507
2004,11.0,0.857,0.801,-6.499,96.009
2018,71.0,0.783,0.84,-3.416,95.001
2019,79.0,0.737,0.86,-2.652,93.989
2003,68.0,0.6,0.796,-4.481,105.991
2003,79.0,0.331,0.943,-3.188,94.612
2003,72.0,0.19,0.265,-9.206,79.012
2006,65.0,0.45,0.883,-4.094,93.41
2000,72.0,0.425,0.852,-5.607,101.968
2000,73.0,0.603,0.933,-3.358,96.306
2003,70.0,0.595,0.489,-6.66,120.315
2015,83.0,0.64,0.74,-4.083,116.879
2003,66.0,0.427,0.843,-4.54,147.387
2018,67.0,0.862,0.583,-6.26,103.019
2005,46.0,0.679,0.922,-4.67,129.016
2004,64.0,0.828,0.653,-6.245,68.507
2011,57.0,0.863,0.527,-6.896,129.054
2009,57.0,0.625,0.699,-6.416,75.974
2014,80.0,0.773,0.758,-4.993,144.033
1999,71.0,0.625,0.85,-3.904,94.661
2019,57.0,0.736,0.81,-6.354,125.011
2012,43.0,0.762,0.754,-3.425,129.026
2004,51.0,0.853,0.911,-6.722,131.012
2009,65.0,0.657,0.941,-3.919,136.202
2013,74.0,0.495,0.894,-4.814,126.03
2002,66.0,0.607,0.923,-6.777,184.819
2007,56.0,0.733,0.744,-3.51,92.515
2014,73.0,0.885,0.581,-8.813,114.016
2012,40.0,0.661,0.746,-5.153,144.188
2006,17.0,0.847,0.861,-6.632,127.894
2007,58.0,0.764,0.487,-6.734,116.027
2004,42.0,0.561,0.452,-7.324,77.984
2004,57.0,0.805,0.754,-6.825,128.429
2016,57.0,0.807,0.887,-3.892,160.517
2014,66.0,0.83,0.52,-8.714,104.99
2005,67.0,0.68,0.87,-4.461,119.075
2009,50.0,0.616,0.596,-5.035,137.077
2010,53.0,0.678,0.739,-5.068,127.037
2011,50.0,0.481,0.849,-5.131,205.57
2013,56.0,0.576,0.726,-4.625,136.802
2006,0.0,0.561,0.936,-5.409,103.055
2006,69.0,0.537,0.674,-5.134,136.002
2010,64.0,0.606,0.497,-6.611,130.739
2012,57.0,0.457,0.948,-3.364,148.0
2002,58.0,0.837,0.885,-3.914,95.313
2001,57.0,0.757,0.706,-6.665,96.976
2004,68.0,0.794,0.614,-5.352,80.569
2019,78.0,0.812,0.496,-5.969,109.979
1999,69.0,0.88,0.814,-6.307,138.083
2000,59.0,0.8,0.922,-5.125,98.631
2001,63.0,0.618,0.844,-4.051,84.411
2002,71.0,0.759,0.678,-5.148,89.64
2002,56.0,0.714,0.862,-5.531,92.849
2003,53.0,0.779,0.655,-7.147,163.971
2004,76.0,0.687,0.793,-4.254,107.045
2009,82.0,0.491,0.956,-1.538,173.585
2009,75.0,0.632,0.924,-1.802,86.844
2009,65.0,0.637,0.69,-3.214,140.329
2011,82.0,0.789,0.858,-5.542,140.022
2013,62.0,0.676,0.534,-6.901,145.082
2013,63.0,0.703,0.867,-4.292,128.008
2019,72.0,0.876,0.662,-6.482,75.445
2000,86.0,0.949,0.661,-4.244,104.504
2000,83.0,0.78,0.768,-4.325,80.063
2002,87.0,0.908,0.669,-2.827,112.238
2002,85.0,0.548,0.847,-3.237,171.447
2002,71.0,0.908,0.758,-4.753,148.015
2004,77.0,0.686,0.735,-4.616,171.355
2002,71.0,0.668,0.824,-4.164,163.961
2004,67.0,0.94,0.633,-3.56,121.003
2004,48.0,0.52,0.768,-3.489,79.178
2004,52.0,0.646,0.796,-6.152,83.093
2004,77.0,0.637,0.678,-3.798,84.039
2004,67.0,0.52,0.768,-3.489,79.178
2005,74.0,0.963,0.643,-5.785,107.005
2005,68.0,0.618,0.746,-5.476,75.272
2009,63.0,0.924,0.853,-1.203,114.003
2009,70.0,0.516,0.874,-2.571,169.561
2010,81.0,0.749,0.925,-5.034,86.989
2010,79.0,0.855,0.954,-1.19,114.635
2013,75.0,0.781,0.853,-3.68,110.049
2013,66.0,0.739,0.872,-4.059,95.084
2017,72.0,0.748,0.749,-5.916,90.09
2000,54.0,0.656,0.88,-5.425,85.565
