popularity,danceability,energy,loudness,tempo,genre,hit
47.0,0.631,0.821,-7.853,118.007,pop,False
42.0,0.817,0.939,-6.079,128.0,pop,False
69.0,0.675,0.828,-5.799,122.229,pop,False
57.0,0.673,0.913,-4.981,124.484,pop,False
52.0,0.742,0.732,-6.046,97.922,pop,False
55.0,0.822,0.847,-6.729,107.908,pop,False
68.0,0.802,0.903,-3.267,128.93,pop,False
60.0,0.624,0.85,-4.754,98.525,pop,False
0.0,0.683,0.886,-5.045,100.04,pop,False
0.0,0.688,0.734,-4.569,140.004,pop,False
0.0,0.709,0.891,-3.688,141.04,pop,False
76.0,0.534,0.87,-3.078,126.019,pop,True
46.0,0.614,0.792,-4.907,91.066,pop,False
60.0,0.563,0.671,-4.788,91.964,pop,False
76.0,0.7,0.709,-5.006,122.019,pop,True
76.0,0.674,0.628,-7.079,103.998,pop,True
71.0,0.457,0.823,-4.76,192.205,pop,False
68.0,0.632,0.702,-5.92,162.958,pop,False
48.0,0.474,0.707,-4.534,83.235,pop,False
68.0,0.383,0.43,-8.644,107.005,pop,False
59.0,0.489,0.955,-2.771,129.352,pop,False
65.0,0.643,0.981,-6.644,140.01,pop,False
46.0,0.656,0.624,-4.623,124.082,pop,False
77.0,0.481,0.638,-5.862,79.064,pop,True
77.0,0.765,0.837,-3.113,122.028,pop,True
65.0,0.614,0.928,-4.806,172.656,pop,False
60.0,0.644,0.874,-4.666,165.09,pop,False
45.0,0.699,0.403,-8.564,113.922,pop,False
50.0,0.745,0.807,-5.191,93.967,pop,False
64.0,0.65,0.786,-5.488,124.96,pop,False
56.0,0.809,0.965,-3.947,130.103,pop,False
77.0,0.545,0.783,-4.261,174.084,pop,True
7.0,0.719,0.704,-4.724,133.002,pop,False
4.0,0.682,0.656,-4.67,130.089,pop,False
69.0,0.801,0.645,-6.93,110.01,pop,False
58.0,0.736,0.802,-8.527,119.854,pop,False
58.0,0.631,0.734,-7.48,124.036,pop,False
53.0,0.699,0.618,-7.338,99.965,pop,False
53.0,0.792,0.797,-5.166,123.993,pop,False
74.0,0.649,0.647,-7.695,125.02,pop,False
61.0,0.589,0.877,-6.229,132.971,pop,False
71.0,0.753,0.931,-4.922,113.029,pop,False
57.0,0.837,0.954,-3.512,127.019,pop,False
77.0,0.509,0.671,-5.709,118.413,pop,True
62.0,0.634,0.677,-7.278,135.012,pop,False
77.0,0.791,0.59,-9.206,119.951,pop,True
0.0,0.733,0.818,-7.222,116.019,pop,False
63.0,0.571,0.953,-5.601,137.965,pop,False
57.0,0.786,0.658,-2.61,170.037,pop,False
65.0,0.532,0.868,-4.23,110.127,pop,False
61.0,0.763,0.72,-5.181,116.01,pop,False
78.0,0.836,0.544,-5.975,97.028,pop,True
79.0,0.794,0.793,-4.521,123.941,pop,True
57.0,0.741,0.869,-6.534,126.069,pop,False
62.0,0.54,0.856,-3.966,153.071,pop,False
59.0,0.583,0.785,-3.991,91.977,pop,False
77.0,0.712,0.862,-4.612,95.051,pop,True
62.0,0.803,0.851,-2.429,113.996,pop,False
67.0,0.703,0.81,-4.874,102.978,pop,False
77.0,0.722,0.761,-4.459,128.044,pop,True
74.0,0.716,0.821,-3.435,92.997,pop,False
82.0,0.743,0.752,-4.813,110.015,pop,True
66.0,0.656,0.674,-5.473,120.001,pop,False
79.0,0.279,0.742,-6.46,189.868,pop,True
0.0,0.737,0.723,-5.51,120.003,pop,False
0.0,0.744,0.783,-7.077,120.042,pop,False
68.0,0.783,0.61,-6.124,100.047,pop,False
0.0,0.697,0.716,-6.288,99.905,pop,False
73.0,0.851,0.541,-6.825,124.959,pop,False
63.0,0.822,0.672,-6.133,117.033,pop,False
60.0,0.585,0.702,-5.734,139.909,pop,False
79.0,0.64,0.743,-4.08,122.035,pop,True
67.0,0.23,0.492,-5.767,160.139,pop,False
73.0,0.338,0.803,-5.412,151.994,pop,False
68.0,0.491,0.593,-5.975,144.142,pop,False
57.0,0.447,0.636,-5.08,105.678,pop,False
1.0,0.129,0.358,-6.596,75.048,pop,False
0.0,0.272,0.203,-9.706,109.581,pop,False
39.0,0.527,0.834,-5.767,179.92,pop,False
64.0,0.761,0.716,-5.8,119.41,pop,False
65.0,0.663,0.746,-3.567,102.847,pop,False
56.0,0.598,0.868,-4.552,99.848,pop,False
1.0,0.738,0.861,-4.141,131.98,pop,False
