popularity,danceability,energy,loudness,tempo,genre
0,0.698,0.844,-4.789,105.828,7
46,0.626,0.906,-4.334,118.035,7
82,0.856,0.609,-7.223,114.988,7
79,0.601,0.794,-5.844,114.066,7
46,0.443,0.683,-5.521,81.986,7
0,0.692,0.911,-5.098,138.975,7
79,0.652,0.698,-4.667,96.021,7
0,0.63,0.91,-2.919,116.98,7
77,0.53,0.422,-6.262,119.964,7
78,0.613,0.622,-5.794,80.003,7
37,0.42,0.742,-5.665,149.965,7
59,0.492,0.859,-4.274,92.474,7
65,0.529,0.948,-3.527,146.024,7
74,0.516,0.764,-6.223,148.021,7
72,0.634,0.69,-7.804,94.988,7
62,0.663,0.705,-4.972,122.014,7
59,0.719,0.935,-3.752,120.022,7
70,0.552,0.689,-6.444,99.961,7
64,0.401,0.872,-3.641,104.592,7
1,0.286,0.508,-5.966,68.637,7
1,0.5,0.498,-6.087,79.798,7
72,0.558,0.719,-5.113,112.027,7
78,0.824,0.588,-6.4,98.027,7
57,0.438,0.672,-4.706,185.934,7
46,0.703,0.736,-5.709,119.955,7
51,0.632,0.972,-2.423,87.0,7
73,0.671,0.88,-6.149,136.953,7
55,0.822,0.922,-5.798,163.826,7
79,0.728,0.563,-8.053,100.017,7
62,0.696,0.517,-8.379,112.291,7
0,0.774,0.626,-4.432,100.041,7
72,0.845,0.561,-5.253,109.974,7
67,0.856,0.632,-3.692,112.009,7
64,0.755,0.769,-5.658,114.966,7
64,0.634,0.886,-5.424,93.04,7
59,0.574,0.691,-5.103,91.969,7
74,0.6,0.688,-8.339,99.977,7
53,0.7,0.72,-6.061,106.986,7
35,0.368,0.426,-8.049,106.52,7
75,0.376,0.695,-4.782,169.533,7
53,0.18,0.636,-6.591,75.223,7
66,0.373,0.686,-5.52,93.763,7
72,0.572,0.81,-5.791,126.052,7
67,0.536,0.486,-11.067,131.988,7
0,0.499,0.676,-8.618,99.979,7
80,0.641,0.559,-11.132,144.982,7
66,0.833,0.515,-5.0,97.007,7
62,0.598,0.4,-10.054,96.938,7
69,0.546,0.787,-4.1,79.979,7
58,0.616,0.789,-4.874,83.066,7
69,0.672,0.593,-4.01,98.02,7
64,0.757,0.884,-5.488,120.012,7
0,0.6,0.676,-6.447,88.928,7
64,0.616,0.789,-4.874,83.066,7
69,0.708,0.618,-4.424,123.013,7
78,0.724,0.804,-4.614,124.987,7
78,0.746,0.754,-6.684,149.882,7
73,0.687,0.761,-4.582,113.939,7
82,0.444,0.819,-4.078,82.695,7
